It's got to be here,To musi byc tu
I've always loved trains,Zawsze kochalem pociagi
In fact if my career in theoretical hadn't worked out my backup plan was to become a professional ticket taker,w istocie jesli moja kariera teoretycznie nie wyjdzie moim rezerwowym planem bylo zostanie profesjonalnym kontrolerem biletow
Dinner's ready,kolacja gotowa
Principles have to make you smile,Zasady musza powodowac usmiech
Nobody I knew cared about music,Nikt kogo znalem nie dbal o muzyke
The only thing they cared about were sex and drug,Jedyna rzecza o ktora dbali byly sex i nakrotyk
If you don't get in here I'm gonna lick your toothbrushng,Jesli nie przyjdziesz tu polize twoja szczoteczke do zebow Ide
Sha has done it before,Ona zrobila to juz wczesniej
The hell were you doing out there?,Cholera co ty tam robiles?
I was exploring new music stuff,Odkrywalem nowa muzyke
I wish I was,Chcialbym byc
That can still be arranged,To wciaz mozna zrobic/zaaranzowac
Leave him be,Pozwol mu byc jakim jest
Did you wash your hands before dinner?,Czy umyles rece przed kolacja?
None of your business,Nie twoj interes
Can we at least have pizza tomorrow?,Czy mozemy chociaz zjesc pizze jutro?
Don't worry i'm not planning  on being in the ninth grade for very long,Nie martw sie nie planuje pozostac w 9 klasie bardzo dlugo
Good luck with your finger painting,Powodzenia z malowaniem palcami
I'm not gonna be assaulted,Nie bede napadniety
Highschool is a haven for higher learning,Liceum to przystan dla wyzszej nauki
I can't I'm meeting with other coaches,Nie moge Spotykam sie z innymi trenerami
I got to(gotta) study my playbook,Musze studiowac moj podrecznik z zagraniami
I'll goo with you,Pojde z toba
Why are you going?,Dlaczego idziesz?
Knock that off,Wybij to sobie
I just don't think this part applies to me,Ja po prostu nie mysle by ta czesc mnie dotyczyla
Most evil doesn't start till puberty,Wiekszosc zla nie zaczyna sie az do pokwitania
When we get home I'm gonna kick your balls,Kiedy wrocimy do domu skopie ci jajka
They haven't descended yet,One jeszcze nie zeszly
For the record they descended when I was 15,Dla jasnosci one zeszly gdy mialem 15 lat
Go out and enjoy it,Wyjdz i ciesz sie tym
If only life were that simple,Gdyby tylko zycie bylo takie proste
I heard you're going to highschool tomorrow,Slyszalem ze idziesz jutro do liceum
You're going to have to find someone else to torment(harass),Bedziesz musial znalezc kogos innego do dreczenia
What am I supposed to do? His feet are growing,Co ja mam zrobic? jego stopy rosna
Will you please keep your voice down?,Czy mozesz sciszyc glos?
Lights out,Swiatla wylaczone
Do we have financial problem?,Czy mamy problemy finansowe?
She just said that to make you feel better,Ona tylko tak powiedziala zebys poczul sie lepiej
Everybody is gonna know he is your brother,Wszyscy dowiedza sie ze on jest twoim bratem
Speaking of which how about we lose the bowtie?,Skoro mowimy o tym moze pozbedziemy sie tej muszki?
You doing ok?,Trzymasz sie w porzadku?
If anybody bothers you what do you say?,Jesli ktokolwiek zawraca ci glowe co mowisz?
Do you want me to go in with you?,Czy chcesz bym weszla tam z toba?
In addition to being your teacher I will be seeing some of you in my home,Oprocz bycia waszym nauczycielem bede widywac czesc z was w moim domu
I'm sure you're well aware we have a new student with us,Jestem pewna ze jestescie dobrze swiadomi ze mam nowego ucznia z nami
I expect y'all to make him feel welcome,I oczekuje od was wszystkich ze poczuje sie mile widziany
He questioned my credentials,On podwazyl moje kwalifikacje
It wouldn't kill you to shower a little more often,Nie zabilo by cie wziac prysznic troche czesciej
How long have you played piano?,Jak dlugo grasz na pianinie?
You got any thoughts here?,Masz jakies przemyslenia na ten temat?
You have perfect pitch,Masz sluch absolutny
You should really pursue music,Powinienes naprawde kontynuowac muzyke
Where you think you're going?,a ty dokad idziesz?
We aren't supposed to learn,My nie powinnismy sie uczyc
He was about power a clock with a potato,Mowil o zasileniu zegara ziemniakiem
I tend to wonder about the bigger questions,Mam tendencje do zadawania wiekszych pytan
You know what I find comforting?,Wiesz co znalazlem pocieszajacego?
How you doin'?,jak leci?
What's that baby?,co takiego kochanie? pytanie na pytanie
I dont see why his brother cant sit with him,Nie widze dlaczego jego brat nie moze z nim siedziec
When you were in highshool would you have lunch with a nine year old?,Kiedy bylas w liceum czy jadlabys lunch z dziewiecio latkiem?
Im gonna keep him company,Dotrzymam mu towarzystwa
Just give this time,Po prostu daj temu czas
Hell is other people,Pieklo to inni ludzie
How come math is easy for you and hard for me,jak to jest ze matma jest latwa dla ciebie i trudna dla mnie
Would you mine sitting with your brother tomorrow?,Czy moglbys usiasc z bratem jutro?
You stay out of this,Trzymaj sie od tego z daleka
It has been around a while but it is still quite popular,Jest juz od jakiegos czasu ale jest wciaz dosc popularna
How come?,jak to?
So you understand what Im going through,Wiec rozumiesz przez co przechodze
my father took pride in saying that he ran our house like a tight ship,moj ojciec szczycil sie ze dowodzil naszym domem jak statkiem
attaboy that s a boy,zuch chlopak
you can fold,mozesz spasowac
I made you think I was unhappy,Sprawilem ze myslales ze jestem niezadowolony
Thats what makes life interesting,To wlasnie czyni zycie interesujacym
She liked to teach me things that kept me awake at night,Lubila uczyc mnie rzeczy ktore pozostawialy mnie nie spiacego w nocy
Was I supposed to stiff him,Czy powinnam go usztywnic zwiazac
Tell me how Im wrong,Powiedz me dlaczego sie myle
I vowed to come back,Poprzysiaglem wrocic
You want me to cook those eggs for you,Chcesz zebym ugotowala te jajka dla ciebie
Can you come in here,Czy mozesz tu przyjsc
I dont feel like cooking,Nie wydaje mi sie zebym gotowala
Why arent we going to the hospital,Dlaczego nie jedziemy do szpitala
Nobody s goin nowhere,Nikt nigdzie nie jedzie
Tell us whats what,Powiedz nam co i jak
I will call when I know more,Zadzwonie kiedy bede wiedziec wiecej
you asleep,spisz
Me neither,Ja takze
Up to you,Zalezy od ciebie
I dont expect this to end well,Nie oczekuje ze to sie dobrze skonczy
Ive often been asked why I never learned to drive a car,Czesto bylem pytany czemu nigdy nie nauczylem sie prowadzic
Just wanted to give you an update,Tylko chcialem przekazac nowe wiadomosci
I handled it,poradzilem sobie z tym
I needed him to be right,Potrzebowalem by mial racje
My family s default mode is mindless panic,tryb domyslny mojej rodziny to bezmyslowa panika
